[2026-04-08 22:11:04] [KAMERA] [HASARLI] Confidence: %38.12
[2026-04-08 22:11:06] [KAMERA] [NORMAL] Confidence: %36.98
[2026-04-08 22:11:07] [KAMERA] [KIRLI] Confidence: %36.61
[2026-04-08 22:11:08] [KAMERA] [NORMAL] Confidence: %35.24
[2026-04-08 22:11:09] [KAMERA] [HASARLI] Confidence: %41.44
[2026-04-08 22:11:25] [KAMERA] [NORMAL] Confidence: %35.67
[2026-04-08 22:11:33] [KAMERA] [KIRLI] Confidence: %35.00
[2026-04-08 22:11:34] [KAMERA] [HASARLI] Confidence: %36.43
[2026-04-08 22:11:35] [KAMERA] [NORMAL] Confidence: %37.99
[2026-04-08 22:11:35] [KAMERA] [CIZIK] Confidence: %35.99
[2026-04-08 22:11:39] [KAMERA] [NORMAL] Confidence: %39.17
[2026-04-08 22:11:40] [KAMERA] [CIZIK] Confidence: %36.05
[2026-04-08 22:11:45] [KAMERA] [NORMAL] Confidence: %47.59
[2026-04-08 22:11:47] [KAMERA] [CIZIK] Confidence: %36.30
[2026-04-08 22:11:51] [KAMERA] [KIRLI] Confidence: %35.39
[2026-04-08 22:11:56] [KAMERA] [PASLI] Confidence: %36.90
[2026-04-08 22:12:01] [KAMERA] [NORMAL] Confidence: %35.23
[2026-04-08 22:12:08] [KAMERA] [PASLI] Confidence: %36.64
[2026-04-08 22:12:11] [KAMERA] [KIRLI] Confidence: %36.92
[2026-04-08 22:12:11] [KAMERA] [CIZIK] Confidence: %37.48
[2026-04-08 22:12:12] [KAMERA] [KIRLI] Confidence: %35.01
[2026-04-08 22:12:13] [KAMERA] [PASLI] Confidence: %35.58
[2026-04-08 22:12:14] [KAMERA] [KIRLI] Confidence: %35.10
[2026-04-08 22:12:23] [KAMERA] [NORMAL] Confidence: %35.30
[2026-04-08 22:12:28] [KAMERA] [PASLI] Confidence: %35.95
[2026-04-08 22:12:39] [KAMERA] [KIRLI] Confidence: %35.46
[2026-04-08 22:12:55] [KAMERA] [NORMAL] Confidence: %35.41
[2026-04-08 22:13:09] [KAMERA] [HASARLI] Confidence: %40.26
[2026-04-08 22:13:09] [KAMERA] [CIZIK] Confidence: %41.26
[2026-04-08 22:13:10] [KAMERA] [HASARLI] Confidence: %35.88
[2026-04-08 22:13:10] [KAMERA] [NORMAL] Confidence: %40.04
[2026-04-08 22:13:11] [KAMERA] [HASARLI] Confidence: %39.05
[2026-04-08 23:14:01] [KAMERA] [NORMAL] Confidence: %70.63
[2026-04-08 23:14:02] [KAMERA] [HASARLI] Confidence: %41.83
[2026-04-08 23:14:02] [KAMERA] [KIRLI] Confidence: %35.17
[2026-04-08 23:14:03] [KAMERA] [HASARLI] Confidence: %35.67
[2026-04-08 23:14:04] [KAMERA] [NORMAL] Confidence: %37.43
[2026-04-08 23:14:06] [KAMERA] [HASARLI] Confidence: %35.75
[2026-04-08 23:14:09] [KAMERA] [NORMAL] Confidence: %40.25
